heading[deg],image_fname,frame,latitude[deg],longitude[deg],cam,neighborhood,subfolder
8.35963023951672,1032455282232706_right,1032455282232706_right,-7.30014711207703,112.75071144104,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
291.010024565003,1522272185058592_right,1522272185058592_right,-7.29923723132104,112.748554944992,1,,data/mapillary_images_new/rLKfngGP2QWN4z7hej1FIu/right
285.241921725887,577895611648693_right,577895611648693_right,-7.30158376213345,112.751441001892,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
101.400011619461,1975756059599963_right,1975756059599963_right,-7.30270115343077,112.754080295563,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
22.7650551589476,953580976705880_right,953580976705880_right,-7.30409522818144,112.749504446983,1,,data/mapillary_images_new/wmL9oX1AljUsix742F0cZf/right
285.830688874703,605984851803133_right,605984851803133_right,-7.30277564608464,112.752674818039,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
85.1975687173111,627717043015011_right,627717043015011_right,-7.30407394463013,112.748254537582,1,,data/mapillary_images_new/KEYQ7cuxoq089kXALyJD6R/right
110.133282993495,566458692894700_right,566458692894700_right,-7.29869981550218,112.748335003853,1,,data/mapillary_images_new/rLKfngGP2QWN4z7hej1FIu/right
109.23816272377,601010739246592_right,601010739246592_right,-7.3016742177233,112.750158905983,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
272.623801230306,3236020579872799_right,3236020579872799_right,-7.3001950004866,112.748748064041,1,,data/mapillary_images_new/2WwrcMRsN6phxTSEt0yeKb/right
220.95502306686,1598198791085956_right,1598198791085956_right,-7.29904035629401,112.750191092491,1,,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
18.2954410316845,609742768198764_right,609742768198764_right,-7.30184980793371,112.749558091164,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
182.366627477804,575113208737709_right,575113208737709_right,-7.29983849775904,112.750743627548,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
285.241975837254,1980253602481371_right,1980253602481371_right,-7.30324920623683,112.749316692352,1,,data/mapillary_images_new/VW2hY8wcJ3e4PDUjQivLGd/right
102.071198976819,1118896666304758_right,1118896666304758_right,-7.30225419724694,112.752352952957,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
66.6320654542768,1508081279876127_right,1508081279876127_right,-7.30075901914678,112.750094532967,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
101.861799631401,1106716347797115_right,1106716347797115_right,-7.30218502541666,112.75207400322,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
4.36315720543729,2003219623512413_right,2003219623512413_right,-7.30338222866123,112.749493718147,1,,data/mapillary_images_new/KEYQ7cuxoq089kXALyJD6R/right
116.752147602062,1318456649155947_right,1318456649155947_right,-7.30230740633988,112.749246954918,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
130.466566433883,929036089202492_right,929036089202492_right,-7.30186044976242,112.750883102417,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
114.136151561232,978090807705113_right,978090807705113_right,-7.30268519071763,112.75076508522,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
