heading[deg],image_fname,frame,latitude[deg],longitude[deg],cam,neighborhood,subfolder
157.99,1217711312238013_right.jpg,1217711312238013_right,15.58436914933641,-61.463109254837036,1,n,data/mapillary_images_new/SG4gUpQDdl1HvxCkMzErFq/right
84.05,810147150770972_right.jpg,810147150770972_right,15.58661170189599,-61.46408021450043,1,n,data/mapillary_images_new/SG4gUpQDdl1HvxCkMzErFq/right
85.27,275015961941994_right.jpg,275015961941994_right,15.587045741498912,-61.46405875682831,1,n,data/mapillary_images_new/SG4gUpQDdl1HvxCkMzErFq/right
170.56,675728221118444_right.jpg,675728221118444_right,15.584591338816324,-61.463865637779236,1,n,data/mapillary_images_new/SG4gUpQDdl1HvxCkMzErFq/right
169.45,1427673917804476_right.jpg,1427673917804476_right,15.584612007592938,-61.46399438381195,1,n,data/mapillary_images_new/SG4gUpQDdl1HvxCkMzErFq/right
138.85,324733489975429_right.jpg,324733489975429_right,15.581310144161336,-61.45956873893738,1,n,data/mapillary_images_new/xJz3hlTg4y57OHWjoiU1Xu/right
120.73,284122827588790_right.jpg,284122827588790_right,15.582157575831715,-61.46030902862549,1,n,data/mapillary_images_new/xJz3hlTg4y57OHWjoiU1Xu/right
160.49,981670949715273_right.jpg,981670949715273_right,15.583743917184762,-61.461424827575684,1,n,data/mapillary_images_new/SG4gUpQDdl1HvxCkMzErFq/right
